# Harvest policy for each statistical area
"AREA"  "APP"   "HR"       "Comm"  "U32"   "O32" "Sport"  "Pers"
  2A    0.024    0.215      0      0.040    0.110   0.398  0.025
  2B    0.134    0.215      0      0.322    0.172   1.220  0.405
  2C    0.105    0.215      0      0.192    0.219   1.313  0.425
  3A    0.354    0.215      0      1.3720   0.5320  4.541  0.313
  3B    0.158    0.161      0      0.7535   0.2185  0.025  0.023
  4A    0.057    0.161      0      0.4335   0.2395  0.018  0.015
  4B    0.055    0.161      0      0.1440   0.1645  0.000  0.001
4CDE    0.113    0.161      0      1.1025   0.6835  0.000  0.038
                                       
