"age" "length" "weight" "a" "b"
9 0.891 0.69 3.5475e-06 3.21785
1 0.415 0.06 3.275e-06 3.1991
2 0.503 0.11 3.2415e-06 3.21185
3 0.56 0.15 2.8535e-06 3.2692
4 0.604 0.19 2.504e-06 3.29745
5 0.639 0.23 2.709e-06 3.27805
6 0.673 0.28 3.3655e-06 3.20865
7 0.742 0.38 2.91e-06 3.2478
8 0.704 0.32 2.835e-06 3.2439
9 0.988 0.96 2.535e-06 3.28915
1 0.402 0.05 2.585e-06 3.28755
2 0.499 0.1 2.39e-06 3.3138
3 0.548 0.13 1.825e-06 3.3955
4 0.587 0.17 2.3e-06 3.32755
5 0.6 0.19 2.86e-06 3.25515
6 0.67 0.27 2.825e-06 3.2721
7 0.746 0.38 2.575e-06 3.295
8 0.752 0.42 6.595e-06 3.0488
9 0.901 0.717 3.85e-06 3.19485
1 0.389 0.06 8.04e-06 2.9838
2 0.505 0.1 2.065e-06 3.3703
3 0.527 0.14 5.955e-06 3.0689
4 0.547 0.17 9.17e-06 2.94035
5 0.604 0.21 4.9e-06 3.09845
6 0.665 0.31 1.2395e-05 2.8668
7 0.739 0.41 9.015e-06 2.95415
8 0.764 0.44 5.895e-06 3.05345
9 0.853 0.62 7.115e-06 3.0127
1 0.337 0.04 9.55e-06 2.95915
2 0.473 0.1 5.595e-06 3.0765
3 0.469 0.139 2.766e-05 2.6096
4 0.562 0.169 5.6305e-06 3.0809
5 0.613 0.207 3.5475e-06 3.21785
6 0.681 0.293 3.275e-06 3.1991
7 0.808 0.505 3.2415e-06 3.21185
8 0.774 0.433 2.8535e-06 3.2692
9 0.904 0.717 2.504e-06 3.29745
1 0.401 0.05 2.709e-06 3.27805
2 0.488 0.1 3.3655e-06 3.20865
3 0.541 0.136 2.91e-06 3.2478
4 0.579 0.17 2.835e-06 3.2439
5 0.615 0.202 2.535e-06 3.28915
6 0.687 0.291 2.585e-06 3.28755
7 0.776 0.432 2.39e-06 3.3138
8 0.78 0.431 1.825e-06 3.3955
9 0.893 0.685 2.3e-06 3.32755
1 0.442 0.07 2.86e-06 3.25515
2 0.502 0.105 2.825e-06 3.2721
3 0.551 0.14 2.575e-06 3.295
4 0.565 0.175 6.595e-06 3.0488
5 0.614 0.21 3.85e-06 3.19485
6 0.664 0.295 8.04e-06 2.9838
7 0.685 0.28 2.065e-06 3.3703
8 0.903 0.73 5.955e-06 3.0689
9 0.874 0.674 9.17e-06 2.94035
1 0.418 0.067 4.9e-06 3.09845
2 0.442 0.096 1.2395e-05 2.8668
3 0.51 0.137 9.015e-06 2.95415
4 0.554 0.165 5.895e-06 3.05345
5 0.614 0.23 7.115e-06 3.0127
6 0.681 0.321 9.55e-06 2.95915
7 0.709 0.347 5.595e-06 3.0765
8 0.805 0.567 2.766e-05 2.6096
9 NA NA 5.6305e-06 3.0809
1 0.417 0.06 3.5475e-06 3.21785
2 0.479 0.095 3.275e-06 3.1991
3 0.529 0.129 3.2415e-06 3.21185
4 0.576 0.165 2.8535e-06 3.2692
5 0.646 0.237 2.504e-06 3.29745
6 0.718 0.338 2.709e-06 3.27805
7 0.675 0.283 3.3655e-06 3.20865
8 0.805 0.495 2.91e-06 3.2478
9 NA NA 2.835e-06 3.2439
1 0.431 0.063 2.535e-06 3.28915
2 0.474 0.086 2.585e-06 3.28755
3 0.536 0.127 2.39e-06 3.3138
4 0.582 0.159 1.825e-06 3.3955
5 0.637 0.223 2.3e-06 3.32755
6 0.678 0.282 2.86e-06 3.25515
7 0.781 0.445 2.825e-06 3.2721
8 0.768 0.419 2.575e-06 3.295
9 0.914 0.759 6.595e-06 3.0488
1 0.431 0.068 3.85e-06 3.19485
2 0.462 0.1 8.04e-06 2.9838
3 0.547 0.131 2.065e-06 3.3703
4 0.566 0.174 5.955e-06 3.0689
5 0.613 0.237 9.17e-06 2.94035
6 0.664 0.281 4.9e-06 3.09845
7 0.75 0.439 1.2395e-05 2.8668
8 0.908 0.751 9.015e-06 2.95415
9 NA NA 5.895e-06 3.05345
1 0.372 0.051 7.115e-06 3.0127
2 0.471 0.108 9.55e-06 2.95915
3 0.52 0.134 5.595e-06 3.0765
4 0.509 0.172 2.766e-05 2.6096
5 0.621 0.23 5.6305e-06 3.0809
6 0.691 0.304 3.5475e-06 3.21785
7 0.817 0.524 3.275e-06 3.1991
8 0.736 0.373 3.2415e-06 3.21185
9 NA NA 2.8535e-06 3.2692
1 0.413 0.054 2.504e-06 3.29745
2 0.486 0.094 2.709e-06 3.27805
3 0.542 0.14 3.3655e-06 3.20865
4 0.609 0.2 2.91e-06 3.2478
5 0.651 0.248 2.835e-06 3.2439
6 0.696 0.304 2.535e-06 3.28915
7 0.792 0.464 2.585e-06 3.28755
8 0.831 0.542 2.39e-06 3.3138
9 0.893 0.68 1.825e-06 3.3955
1 0.448 0.069 2.3e-06 3.32755
2 0.497 0.103 2.86e-06 3.25515
3 0.545 0.137 2.825e-06 3.2721
4 0.599 0.185 2.575e-06 3.295
5 0.633 0.248 6.595e-06 3.0488
6 0.679 0.29 3.85e-06 3.19485
7 0.701 0.346 8.04e-06 2.9838
8 0.852 0.582 2.065e-06 3.3703
9 0.926 0.789 5.955e-06 3.0689
1 0.373 0.055 9.17e-06 2.94035
2 0.466 0.094 4.9e-06 3.09845
3 0.495 0.133 1.2395e-05 2.8668
4 0.549 0.17 9.015e-06 2.95415
5 0.611 0.222 5.895e-06 3.05345
6 0.635 0.254 7.115e-06 3.0127
7 0.76 0.444 9.55e-06 2.95915
8 0.723 0.368 5.595e-06 3.0765
9 NA NA 2.766e-05 2.6096
1 0.378 0.05 5.6305e-06 3.0809
2 0.467 0.086 3.5475e-06 3.21785
3 0.535 0.135 3.275e-06 3.1991
4 0.592 0.186 3.2415e-06 3.21185
5 0.668 0.268 2.8535e-06 3.2692
6 0.728 0.351 2.504e-06 3.29745
7 0.808 0.498 2.709e-06 3.27805
8 0.764 0.421 3.3655e-06 3.20865
9 NA NA 2.91e-06 3.2478
1 0.431 0.065 2.835e-06 3.2439
2 0.498 0.101 2.535e-06 3.28915
3 0.563 0.151 2.585e-06 3.28755
4 0.574 0.159 2.39e-06 3.3138
5 0.674 0.262 1.825e-06 3.3955
6 0.718 0.332 2.3e-06 3.32755
7 0.835 0.557 2.86e-06 3.25515
8 0.927 0.78 2.825e-06 3.2721
9 NA NA 2.575e-06 3.295
