## ------------------------------------------------------------------------- ##
## TEMPLATE DATA FILE FOR iSCAM                                              ##
## TIPS: -use '#' as comment character for the data file                     ##
##       -use '#' on all blank lines (windows compatible)                    ##
##       -sex: 0=asexual, 1=female, 2=male                                   ##  
##                                                                           ##
##                                                                           ##
## TEMPLATE is based on Flack Lake Trout (ADMB catage example)               ##
## ------------------------------------------------------------------------- ##
##
##
##
## ------------------------------------------------------------------------- ##
## MODEL DIMENSIONS                                                          ##
## ------------------------------------------------------------------------- ##
1        # -number of areas            (narea)
1        # -number of groups or stocks (ngroup)
1        # -number of sexes            (nsex)
1951     # -first year of data         (syr)
2012     # -last year of data          (nyr)
2        # -age of youngest age class  (sage)
10       # -age of plus group          (nage)
5        # -number of gears            (ngear)
##
## ------------------------------------------------------------------------- ##
## Allocation for each gear in (ngear), use 0 for survey gears.              ##
## ------------------------------------------------------------------------- ##
0.083 0.442 0.474 0 0
##
##
## ------------------------------------------------------------------------- ##
##
## ------------------------------------------------------------------------- ##
## Age-schedule and population parameters                                    ##
## ------------------------------------------------------------------------- ##
## Need one value for each area and sex.
##
27.0                    # -asymptotic length (linf)  
0.48                    # -brody growth coefficient (k)
0.0                     # -theoretical age at zero length (to)
4.5e-6                  # -scaler in length-weight allometry
3.1270                  # -power parameter in length-weight allometry
3.055                   # -age at 50% maturity (approx with log(3.0)/k)
0.05                    # -std at 50% maturity (CV ~ 0.1)
0                       # -(if n_MAT==1) use the following vector for maturity
0                       #mat vec
##
## ------------------------------------------------------------------------- ##
## TIME SERIES DATA                                                          ##
## ------------------------------------------------------------------------- ##
## Observed catch from all gears, areas, and sex                             ##
## sex: 1=female, 2=male, 0=asexual
## Type of catch: legend                                                     ##
##               1 = catch in weight                                         ##
##               2 = catch in numbers                                        ##
##               3 = catch in spawn (roe)                                    ##
## 
## n_ct_obs
   140
## Year gear area group sex type value
   1975 3    1    1     0   1    5.305
   1976 3    1    1     0   1    6.966
   1977 3    1    1     0   1    7.735
   1978 3    1    1     0   1    7.230
   1979 3    1    1     0   1    6.762
   1980 3    1    1     0   1    3.177
   1981 3    1    1     0   1    5.065
   1982 3    1    1     0   1    5.583
   1983 3    1    1     0   1    8.613
   1984 3    1    1     0   1    6.039
   1985 3    1    1     0   1    3.495
   1987 3    1    1     0   1    5.998
   1988 3    1    1     0   1    5.988
   1989 3    1    1     0   1    5.919
   1990 3    1    1     0   1    7.886
   1991 3    1    1     0   1    9.410
   1992 3    1    1     0   1    8.870
   1993 3    1    1     0   1    8.733
   1994 3    1    1     0   1   11.572
   1995 3    1    1     0   1    8.190
   1996 3    1    1     0   1    6.233
   1997 3    1    1     0   1    6.148
   1998 3    1    1     0   1    6.896
   1999 3    1    1     0   1    6.838
   2000 3    1    1     0   1    7.594
   2001 3    1    1     0   1    7.683
   2002 3    1    1     0   1    7.986
   2003 3    1    1     0   1    8.083
   2004 3    1    1     0   1    5.226
   2005 3    1    1     0   1    8.954
   2006 3    1    1     0   1    7.277
   2007 3    1    1     0   1    5.286
   2008 3    1    1     0   1    2.752
   2009 3    1    1     0   1    3.937
   2010 3    1    1     0   1    3.244
   2011 3    1    1     0   1    4.415
   2012 3    1    1     0   1    4.079
##
## ------------------------------------------------------------------------- ##
## ABUNDANCE INDICES -A RAGGED ARRAY: (1,nit,1,nit_nobs,1,5)                 ##
## ------------------------------------------------------------------------- ##
2           # Number of abundance series         int(nit)
37 25       # Number of observations in series   ivector(nit_nobs(1,nit))
3  3        # Survey type (see key below)        ivector(survey_type(1,nit))
## 1 = survey is proportional to vulnerable numbers
## 2 = survey is proportional to vulnerable biomass
## 3 = survey is proportional to spawning biomass (e.g., a spawn survey)
##
## survey_data:
##                                        survey
## iyr     index(it) gear area group sex  wt          timing 
